iter	Passed	Remaining
182	252	1126
183	253	1122
184	253	1118
185	254	1113
186	255	1109
187	255	1105
188	256	1101
189	257	1097
190	257	1092
191	258	1087
192	258	1082
193	259	1078
194	260	1074
195	260	1069
196	261	1065
197	261	1060
198	262	1056
199	263	1052
200	263	1048
201	264	1044
202	264	1039
203	265	1035
204	266	1031
205	266	1027
206	267	1023
207	267	1019
208	268	1016
209	269	1013
210	269	1009
211	270	1005
212	271	1002
213	271	998
214	272	995
215	273	991
216	273	987
217	274	983
218	274	980
219	275	976
220	276	973
221	276	969
222	277	965
223	277	962
224	278	958
225	278	954
226	279	951
227	280	948
228	280	945
229	281	941
230	281	938
231	282	935
232	283	932
233	283	929
234	284	926
235	285	922
236	285	919
237	286	917
238	287	914
239	287	910
240	288	907
241	288	905
242	289	901
243	290	898
244	290	895
245	291	892
246	291	889
247	292	887
248	293	884
249	293	881
250	294	878
251	294	875
252	295	872
253	296	869
254	296	867
255	297	864
256	297	861
257	298	858
258	299	855
259	299	853
260	300	850
261	300	847
262	301	845
263	302	842
264	302	839
265	303	837
266	304	834
267	304	832
268	305	829
269	306	827
270	306	824
271	307	821
272	307	819
273	308	816
274	308	814
275	309	811
276	309	809
277	310	806
278	311	804
279	311	801
280	312	799
281	313	797
282	313	795
283	314	792
284	314	789
285	315	787
286	316	785
287	316	782
288	317	780
289	317	777
290	318	775
291	318	773
292	319	771
293	320	769
294	320	766
295	321	764
296	322	762
297	322	760
298	323	758
299	324	756
300	324	754
301	325	752
302	326	750
303	326	748
304	327	746
305	328	744
306	328	741
307	329	739
308	329	737
309	330	735
310	330	732
311	331	730
312	332	729
313	332	727
314	333	725
315	334	723
316	334	721
317	335	719
318	336	717
319	336	715
320	337	713
321	337	711
322	338	709
323	338	707
324	339	705
325	340	703
326	340	701
327	341	699
328	342	697
329	342	696
330	343	694
331	344	692
332	344	690
333	345	688
334	345	686
335	346	685
336	347	683
337	347	681
338	348	679
339	349	677
340	349	676
341	350	674
342	351	672
343	352	671
344	352	669
345	353	668
346	354	666
347	354	664
348	355	663
349	356	661
350	356	659
351	357	658
352	358	656
353	358	654
354	359	652
355	359	651
356	360	649
357	361	647
358	361	646
359	362	644
360	363	642
361	363	640
362	364	638
363	364	637
364	365	635
365	366	634
366	366	632
367	367	631
368	368	629
369	368	627
370	369	626
371	369	624
372	370	622
373	371	621
374	371	619
375	372	618
376	373	616
377	373	614
378	374	613
379	374	611
380	375	610
381	376	608
382	376	607
383	377	605
384	378	604
385	379	603
386	379	601
387	380	600
388	381	598
389	381	597
390	382	595
391	383	594
392	384	593
393	384	591
394	385	590
395	385	588
396	386	587
397	387	585
398	387	584
399	388	582
400	389	581
401	389	579
402	390	578
403	391	576
404	391	575
405	392	573
406	392	572
407	393	571
408	394	569
409	395	568
410	395	566
411	396	565
412	396	564
413	397	562
414	398	561
415	398	559
416	399	558
417	400	557
418	400	555
419	401	554
420	402	552
421	402	551
422	403	550
423	403	548
424	404	547
425	405	546
426	405	544
427	406	543
428	407	542
429	408	540
430	408	539
431	409	537
432	409	536
433	410	535
434	411	533
435	411	532
436	412	531
437	413	530
438	413	528
439	414	527
440	415	526
441	415	525
442	416	523
443	417	522
444	417	521
445	418	519
446	419	518
447	419	517
448	420	516
449	421	514
450	421	513
451	422	512
452	423	511
453	423	509
454	424	508
455	425	507
456	426	506
457	426	505
458	427	504
459	428	502
460	428	501
461	429	500
462	430	499
463	431	497
464	431	496
465	432	495
466	433	494
467	433	493
468	434	491
469	435	490
470	435	489
471	436	488
472	437	487
473	437	485
474	438	484
475	438	483
476	439	482
477	440	480
478	440	479
479	441	478
480	442	477
481	443	476
482	443	475
483	444	473
484	445	473
485	446	471
486	447	470
487	447	469
488	448	468
489	449	467
490	449	466
491	450	465
492	451	464
493	452	463
494	452	461
